Ulangan 1,Ulangan 2,Ulangan 3,Ulangan 4,Ulangan 5,Species
892,408,412,441,435,HA18T
964,904,901,918,890,HA18T
1027,1022,1028,961,961,HA18T
1100,1099,1096,1018,1023,HA18T
1149,1157,1155,1092,1100,HA18T
1241,1242,1250,1155,1147,HA18T
1326,1335,1328,1191,1241,HA18T
1373,1371,1367,1235,1325,HA18T
1420,1425,1413,1291,1371,HA18T
1627,1628,1605,1325,1420,HA18T
1728,1735,1740,1371,1491,HA18T
2165,2362,2165,1418,1634,HA18T
2345,2926,2366,1485,1735,HA18T
2391,3390,2859,1632,2166,HA18T
2925,3750,2919,1740,2360,HA18T
3296,3855,3745,2158,2854,HA18T
452,407,462,425,422,HA22T
892,895,892,894,893,HA22T
958,1031,960,959,958,HA22T
1022,1103,1026,1020,1021,HA22T
1099,1147,1100,1099,1098,HA22T
1147,1249,1149,1147,1145,HA22T
1241,1326,1241,1240,1241,HA22T
1323,1369,1323,1323,1323,HA22T
1370,1415,1377,1370,1370,HA22T
1420,1488,1420,1420,1420,HA22T
1612,1632,1631,1491,1479,HA22T
1739,1738,1735,1539,1629,HA22T
2357,2335,2380,1646,1735,HA22T
2921,2850,2923,1733,2380,HA22T
3331,2918,3334,2357,2851,HA22T
3753,2985,3753,2851,2919,HA22T
893,958,892,961,894,HA9T
964,1026,1022,1024,1025,HA9T
1024,1101,1100,1101,1100,HA9T
1100,1148,1147,1147,1148,HA9T
1148,1241,1240,1240,1241,HA9T
1240,1330,1330,1323,1323,HA9T
1330,1377,1377,1370,1370,HA9T
1370,1417,1417,1420,1420,HA9T
1420,1631,1631,1508,1543,HA9T
1491,2381,1735,1560,1646,HA9T
1641,2852,2381,1636,1735,HA9T
1739,2920,2855,1735,2352,HA9T
2381,3333,2921,2381,2853,HA9T
2921,3753,3333,2854,2920,HA9T
894,892,918,425,443,HA43T
1028,958,1024,893,895,HA43T
1099,1025,1098,958,1030,HA43T
1147,1098,1145,1023,1102,HA43T
1240,1145,1240,1099,1153,HA43T
1324,1241,1323,1145,1243,HA43T
1371,1322,1370,1241,1323,HA43T
1417,1370,1420,1323,1371,HA43T
1482,1417,1509,1377,1420,HA43T
1636,1482,1619,1417,1479,HA43T
1728,1625,1739,1472,1542,HA43T
2165,1735,2165,1619,1651,HA43T
2380,2359,2376,1735,1733,HA43T
2854,2853,2855,2352,2352,HA43T
2922,2920,2921,2853,2923,HA43T
3310,3292,3314,2920,3297,HA43T
3753,3753,3674,3301,3674,HA43T
423,428,430,440,426,HA44T
894,464,465,891,959,HA44T
1024,892,892,961,1023,HA44T
1100,961,962,1024,1099,HA44T
1147,1023,1022,1100,1145,HA44T
1241,1100,1100,1241,1240,HA44T
1324,1147,1147,1324,1323,HA44T
1371,1240,1240,1371,1377,HA44T
1417,1324,1324,1440,1406,HA44T
1490,1371,1371,1539,1490,HA44T
1627,1420,1417,1631,1619,HA44T
1735,1505,1490,1735,1733,HA44T
2165,1619,1621,2348,2348,HA44T
2284,1728,1735,2855,2851,HA44T
2391,2282,2348,2923,2919,HA44T
2854,2391,2390,3327,3285,HA44T
426,422,423,422,894,HA36T
1027,455,452,893,1025,HA36T
1101,893,892,1023,1100,HA36T
1150,958,961,1099,1148,HA36T
1240,1021,1025,1147,1241,HA36T
1324,1097,1100,1239,1323,HA36T
1371,1145,1148,1322,1377,HA36T
1420,1239,1240,1371,1420,HA36T
1509,1323,1323,1420,1459,HA36T
1641,1371,1371,1491,1509,HA36T
1735,1420,1417,1634,1627,HA36T
2924,1509,1506,1735,1735,HA36T
3334,1636,1631,2851,2851,HA36T
